Difficult cases of IVF/ICSI,"High number of cases, low number of staff",Expensive training,Lack of understanding from the top management,Flexible working hour,More number of staff according to cases,"I want to attain all skills and techniques available in IVF tech, specializing in advanced techniques and procedure (i.e ovary freezing and IVM). Doing scientific research and publishing in journals. "
Lack of respect and understanding from management,Time to get the work done,Improvements are technology driven not science,Lack of research in sector,Produce recommended # of Embryologists per cycle performed to protect working conditions,Improve ability to do empirical primary research,I don't know anymore
Fertilization Rate and Blatulation rate,Laboratory environment maintenance,Clinical Dominance,Uniformity in proccedures and protocols,Encourage them by sponsoring to the international congress/conferences,Every embryologist can not publish his work - creating publications facility of his laborius work can imrove his wrkoing condition,Happy Respectful Retirement
salary,professional recognition,-,-,-,-,-
Excessive work,Underpaid,Industrialization of IVF programs,Shortage of experience embryologist,Embryologist need to enjoy their job,Embryologist need to have a life beyond the lab work,Stay up tp date on new technologies applied to my field
none,none,none,none,none,none,none
.,.,.,.,.,.,clinical embryologist
365 work days,New technologies,Covid,Ethics,Less working days,More holiday days,"PhD, lab director, R&D"
Understaffing and overworked,Underpaid,Weekend hours,Understaffing,Better pay grade,More opportunities to attend educational meetings,"Keep learning and helping grow the practice, help as many patients as possible achieve pregnancy"
Team-working with gynaecologists,Respect and understanding,Devotion to lab-work,Hard working,"Colleagues understanding, positive work environment","Good interaction, and better comunication with gynaecologists",Head of andrology laboratory
Work during weekends,Low salary,Time to write articles,Time to study,Less paper work,Free weekends,Know more rachar year
High workload,Blame culture,Low pay relative to skill level,Responsibility for errors,Higher pay,Better working hours (I.e less weekend cover),Become a clinical embryologist and achieve state registration
Blame of faults,Clinician dominance,Certifications are expensive,Ethical concerns in accordance with the patient's demands,Proper training and well equipped lab with new technology,Avoid blame game environment,"To excel my knowledge, skills, and career in embryology and reproductive science."
Work life balance,Constant need to improve,Modern day expectations - I paid for it so why didn't it work?,Certain consultants recommending unethical practises that the lab must obey,Greater power over work carried out,Protected down time,To retire young
Possibilities of sample mix ups,Jejrjrk5,Iddjsnx,Mxkdj,Ksjejr,Nxjdj,Embryology counselling and doing also reseach as well
To devide  conventional  ivf  or icsi as everyone  wants 100% result,"If ET performed , it shouldn't  be negative result. ",For QA QC we don't  have instruments,Only sensitive embryologist suffer,Working time should be shift wise. Or roaster .,Provide appropriate  training time to time,I want to work be a skilled embryologist in a very good lab.
Ethical approach,Decision making about ET or no ET,Ethical approach,Salary/remuneration,Confidence to say no to Malpractices,Exposure to new articles,Rich embryologist
Clinicians bosses,Time to rest,Not recognized profession in Brazil,Training is very expensive,Regulamentation of our profession,Management of cycles to give us some rest time,"To help as many people to achieve their dream in a honest, kind and secure relationship "
Salary,Lack of autonomy,Long working hours,Low wages,Financial rewards,Bigger staffing,I am close tô retiremen
Good scientific background,Reliebale embryologist,Fast growing methods,Laboratory personal,More courses to attend,More connections to establish,Become more professional at my career
Continued education and practice,High quality behavor towards couples,Education,Adopt new technologies,International certificate of quality control,Continued education,"As Senior Clinical Embryologist for 32 years, I have obtained a lot of goals. One major is to educate theoritically and in practice new embryologists on abroad, as I do since more than 20 years."
Time,Expectations,Time consuming,Innovations,Coordinate ivf cicles,Stay updated,To grow profesionaly and personaly
Results,Salary,Results,Salary,Salary,Better labs,Be an international consulter
"Being underpaid for a 5 day work week, wail being expected to be on call 24/7 from the goodness of our hurts",Getting respect from the clinical stuff for the work that we do,In Israel there is no recognition in this profession and we are refured to as lab technicians...,"The only places to study is on the job, so you are limited to what your lab manager known.... ",Recognition in our profession,Set proper value for our work. People with much less education and responsibilities get much more money,To be the best in what i do. To be educated about all the technicians in the fild
Coordination with clinicians,Management support,Lack of educational facilities,Affordablility of training courses,Training and education,Standardization,To learn more
Ooctye fertilization,Patient  Positive outcome,Oocyte bad  quality,Sperm poor quality,Install AHU in laboratory,Good quality donar selection,Become chief Embryologist
For being a fresher it' s difficult to.survive in IVF centre Between sen,Fresher should also get chance to do some procedures,Freshers also get chance to get work,fresher also get good training,Less working hour,Less strees on embryologist,My career goal is so simple I want to become a very good embryologist
Volume of work,Quality control,Emocional control,Quality  control,Recognition,Salary,Better salary
Subdued by senior embryologists,No open platform to work out,Ethical aspects,Stagnation of juniors,Equal weightage to all irrespective of age,Performance oriented incentives,"To help, train, educate the juniors "
Not making mistakes,Recording all of the work,Not making mistakes,Ethical issues,Better equipment,Less workload,I plan to retire in one or two years
Knowledge,Salary,Knowledge,Professional,Laboratory conditions,Salary and physician's attitude,To be the best embryologist
Salary,Qualificqtion,Salery,Lack in embeyoligist,Salery,More sfaff,Continue:  Academic  Clinial supervisor
Lab politics,Workload,Legal issues,Competition,More unbiased training from seniors,More facilities/ safety precautions for embryologist,To become a successful embryologist who is widely recognized for skill set and ethical practice. And make money to gain profits out of investment.
Being alone in small ivf units,High workload,Being invisible,Unqualified practice,Only qualified embryologist should perform certain procedures,Better salaries and working conditions,To become quality manager
"Leave on weekends, festivals and family functions ",Working hours,Ethics,Eye and back pain,Flexibility,Appreciation,"To work in a healthy environment having good relationships with clinician, staff and patients.   Learn the technologies well and perform up to standard. "
Inconsistent schedules,Being available all times,Not healthy competition,Insecurity due to no graduates in the field,Getting graduated embryologists,Better work life balance,Advance career to the next level
WORKLOAD,LOW SALARY,STRESS,UNRECOGNISED CONTRIBUTION,MORE STRICT LAWS REGARDING WORKLOAD ETC,ESTABLISING FORMAL TRAINING NATIONALLY,REMAIN IN THE FIELD BUT DO MORE CONSULTATION WORK
Staff shortage,Burnout,Staff shortage,Lack of formal education and training program,Create a specialized M.Sc program will allow training of more embryologists to deal with staff shortage,"More staff will mean more time for continued education and training, more satisfaction and less burnout",None in particular. Steadily climb up the ladder while able to do some research along the way
Long hours,Catching up new technics,Interference of doctors,Low paid,More stuff,More independency,Academic
Result,Maintain sop of ivf center,Increase oocyte thawing procedure,Maintain lab. Procedure,Work according to ivf sop,Accept new challanges & work hard,Chief embryologist
Sticking to clinicians request,Sticking to ethical guidelines,Embryology norms,Working atmosphere,Have to attain freedom doing work,Always clinicians must have to interactive work with the embryologist,To perform the scientific and the research work in ART
SET success rate,TESA sample preparation,Managment by unskilled person,Ignorance by HO,All lab requirement manage by Embryologist,Healthy environment creat by Dr. And admin,Achivement of High success rate
Lack of knowledge about lab requirements among managements,Lack of qualified embryologists getting suitable remuneration,Qualified embryologists often being lead by unqualified peers,Reluctance of peers to train juniors under them,Better recognition of qualified juniors,Regulation and licensing of embryologists based on their education,To become a very dependant embryologist for any IVF lab
Burnout,People shortage,People shortage,Salary,More embryologists,Larger labs,Retire
Troubleshooting if things going wrong,Trading new ppl ethically,No personal timing,Need to work on festival days also if there is any day 5 or day 3,More webinars on newly introduced technique,Team meetings,To do a ethical and loyal work
work under pressure for long hours,work during weekends/holidays,burn out,ethical issues,rotation working,breaks during work,learn biopsy
Lack of communication with physicians,Burn out,Lack of recognition,Long hours,Better communication,Incentives provided by superiors,Ascertain research grants
a,a,a,a,a,a,a
time,blastocyst scoring,AI,autonomic machine,more AI,automatic ICSI,many
Stress,Multitasking,Continued education,High results,Organization,Automation,Lab manager
Burnout,Not having a voice in the decision making,Burnout,Lack of staff,4 day work week 32 hrs as industry standard,Unk,Leave embryology - get off the bench
Pressure about results ( ivf success),Need for constant concentration and focus,Training,Long work hours,Better technology thats easy to master,Equal participation with clinicians in planning and delivery of Ivf services,Teach aspiring embryologists and contribute to scientific journals
Overworked,No automation,lack of structured training,lack of advancement,structured training centers,more advocacy from national groups,Lab Director
Not acknowledge & no respect,Over powering by clinicians,Everyone thinks all embryologists are unqualified,Low pay and lots of responsibilities and kind hrs of working and working during holidays,Embryologist must be qualified msc/phd,There must be national regulations for embryologist and ivf units,Lab director in Middle East
Recruitment,Burocracy,Training,Quality,Appreciation,Development,I have reached my career goals
Workload versus staffing,Lack of recognition,Training,Work conditions,Workload needs to be not relying on a number of fresh cycles,More admin support,Move on to participate in embryology education
workload,salary appreciation,workload,appreciation and labor market,Increase the team of professionals for the division of tasks,greater appreciation by physicians,"The objective is to make the clinic where I work solid in the area, increase the team and make it better paid."
N/A,N/A,training costs - lack of placements,course costs,N/A,N/A,To obtain more knowledge in ART techniques and embryology in general
Doctors blame only  embryologist for negative cycle,Expected to be present in the lab at all the time,Doctors blame only  embryologist for negative cycle,Expected to be present in the lab at all the time,Doctors need to provide with a time and schedule for upcoming cases,Pay scale should be fixed according to experience,To become a successful embryologist and help my organization reach it's desired results
Post,Salary,to handle sero positive pt,multiple failures,under graduates should not be allowed to practise,strict experience criteria for students passing clinical embryology,To achieve constant high pregnancy rates
Lack of funds for training opportunities,Lack of encouragement for research,No proper regulations for professionals,Lack of funds for adequate training,Provisions of training funds to interested individuals,Proper renumeration,To be a solution source in my chosen career
Lack of data on troubleshooting,Timely peer reviews on new techniques available,Ethical,Stress and professional responsibility,Strict government guidelines to overcome loopholes,Better work strength,To do a pathbreaking research or provide feedback to all about laboratory troubleshooting on a case to case basis
Accuracy,Responsibility,Weekend shifts,Low salary,Better salary,Increased number of embryologist in a lab,To help women to achieve parenthood
Time pressure,Stress,Having to deliver bad news,Very competitive field,Better payment,Provode lwadership courses to build confidence,"Finish my clinical training, become HCPC registered, travel on other countries to work in other labs and see differences in legislation/practice/etc, be involved in research projects."
Na,Na,Na,Na,Na,Na,Learn more about my field
Stress,Missing family time,Not much recognition,Burden of negative pregnancy results,Reduce working hours,More time with family,To pursue PhD
Lack of techonologies available (spefially in the public field),Lack of communication between colleagues/centers; poor liaison between cllleagues,Low recognition,Low Salaries,Better incomes,Prospective career development,"To be able to provide the best service in assisted reproduction,   allowing for it to be available to anyone who desires and needs, in a non too expensive manner"
Work load,Less staff,Very few leaves,Cant say no when there are cases,Less workload,Less timongs,To improve consistently
staffing,workload,underestimated,new technology,to be appreciated by clinicians,to be heard,to be as creative as possble
Stress,Time,stress,time,Don't Stress Embryologist,Reduce work load,To become ESHRE Certified Senior Clinical Embryologist
Laboratory scheduling treatments,Recognition,Professional career,Salary,There is a well-defined embryologist career,Provide certificates to embryologist to work,Keep doing lab work as longas I can. Not only lab director
timing,media and disposable delivery in covid time,lack of on going updating and refining of skill,job finding in case quite,serious IVF specialist,not to make it a business,to find better place to work and earn higher knowledge
workload,Team work,New developments increase work complexity,Management of Change,Workload equaly shared and within the individual's capabilities,Culture that promotes/support career development,Service and self improvement
Lack of new equipment,Lack Calibration equipment,Recognition by doctors as a pivot in IVF process,Low pay,Increase pay for work done,Better institutions to regulate IVF process,Have the best IVF Centre in East Africa having top cream equipment and best human resource for the while IVF process.
Freshers are not given the platform to start their training.,Embryologist not given much recognition,"Very much New in country, clinics/hospitals would rather hire technicians then people with degree.",Not much scope for freshers,Better exposure,Better benefits,To become a highly skilled embryologist who is able to perform ICSI and biopsy smoothly.
WORKING 100% ERROR FREE EVERY DAY,DISINTEREST IN FEEDBACK BY OTHER GROUPS,LACK OF UNDERSTANDING OF THE JOB OUTSIDE OF THE LAB,MAINTAINING AN ADEQUATE STAFFING LEVEL AT ALL TIMES,HAVING A BIGGER VOICE WITHIN THE INSTITUTION/PROFESSION,"A BETTER UNDERSTAINDING OF THE JOB BY PHYSICIANS/BUSINESS MANAGERS, ETC.",N/A
Stress,management issues,workload,Overtime,More day offs or reduced working hours,Should be paid properly,To get into research
Lack of trained personnel,Employers not willing to support further education,Work life balance,Very niche profession,Implement technological help,Have enough trained manpower,Principal embryologist
the clinicians,disrespect for my profession,to be respected as an equal in treating the patient as a whole,acknowledgement of skill and expertise,more freedom to expand knowledge,more exposure to patients,to give my patients the best change falling pregnant while visiting my laboratory
Career recognition,Working hours,Career recognition,Working hours,Better salary,Defined number of embriologists/number of cycles,Improve pregnancy rates
to deal with workload,to deal with clinicans,to deal with workload,to deal with legalisation,same salary as the gyneacologists,create support services,"Support the growth of our IVF-center to become the best one in the Netherlands, according to our patients! "
double checks,stress,stress,no valoration of our work by doctors,salary,more valoration of our work,leader in one IVF lab.
find the adeguate technological infrastructures,acknowledgment of professional skills,relationship with the clinicians,salary,improve the active role of ART international and national societies,-,Laboratory director
Mistakes in procedures.,Not sure.,New techniques,Not sure.,Flexible schedule,Better salary,Be able to perform all the procedures in the IVF lab.
calidad,equipamiento,reconocimiento,formación,formación reconocida oficialmente,adecuación de puesto de trajajo,.
Working on weekends,Multi-task profile,Working on weekends,Multi-task profile,Better salary,Better recognition,Enjoying my work every day
avoid fatal errors mistakes,provide patient satisfation,have a job in some countries,recognition,more stability by recognition,work load release,manage an IVF unit
Stress,Noise of hoods and distractions,Recognition,"Dignity, respect","More staff to help (admin, assistants)",More breaks and better work management,Lab director
Be clinical worker,Reconnaissance The effort In the Laboratory and in our personal life,Reconnaissance The effort,Salary,Timetable,A lot of extra Work,Dorector
Try to other clinical staff understand the workload in the laboratory the,Communicate negative outcomes to patients,Perform time-limited tasks,Recognition of the embryologist role by the rest of clinical staff,More recognition and regulated professional career,More staff,Lead embryologist
deal with everyday work,relations with doctors,doctors,how the government recognises us,to make us worth it by not accepting all the conditions,to fight for our wills,to survive
Poor management,Stress/ansiety,Lack of professional recognition,Unqualified practice,Legal professional recognition,Improve salary,Management
work under pressure,sudden rise in cycles,work on weekends,work to early in mornings,regulates cycles in clinicis to avoid too much work on weekendsking on,have enough people working and specialized in IVF laboratories,"To work with new techniques, to do research and work less hours."
Salary,Type of contract,Salary,Work in Spain,Increase in the base salary of the embryologist,Recognition of the specialty of embryology in the national health system,A senior embryologist contract
Workload,Lack of supplies and materials (latinamerica),Unregulated salary,Unfair competition (people without academic qualifications occupying high positions),Regulation of academic qualification,Salaries according to professional responsibility,Have my own quality control and auditing company.
Concentration,Pressure management,Ethical concerns,Access to the public system,More natural ligth,Better chairs,Been a senior competent embryologist
TAKE GOOD DECISIONS,HAVE ORDER,HAVE GOOD RESULTS,RESOLVE PROBLEMS,MORE EMPLOYEES PER CYCLE,ETHICAL PRAXIS,GO ON ON LOVING MY JOB
recognition,safety,recognition,knowledge,recognition,recognized specialization programs,get the certificate of senior embryologist
Automatization,Research,Automatization,Research,Improve the environment,Improve the salary,Been part of the company
n,n,n,n,n,n,n
Artificial Inteligence,Competencia (we are too much),Artificial Inteligence,professional recognize,certification by goverment,improve the days off and salary,to make things in the best way to help people to have children
Responsability,High workload,Try to organize the workload generated by the clinicians,To be responsible of the rates of the clinic,To compensate the responsabilities,Better Management,To get as many woman pregnant.
not losing the empathy to patients when there is a high load of work,not blaiming others for human errors or not adapting to new strategies,Receive good training,Salary,Salary,Having an internal team of prevention of laboral risks,"To become a good senior embriologyst, a good professional"
global vision,concentration,updating,specialisation,more time for clinical investigation,vvv,To help couples wanting to have a baby
Instagram,Tweter,lack of regulation,Salary,Regulation,Work recognition,Publication of good science
that we are valued like the doctor,Salary increase,a national degree,more economic recognition,Best chairs,better materials overall,Reach the top of my career and publish as first author more of one scientífic article
High workload,Complex tasks performed under pressure,Training opportunities,Complex tasks performed under pressure,Obligatory breaks during the working day,Better human factors and ergonomics,Be part of the top of the clinic group.
RECOGNITION,TEAMWORK,RECOGNITION,GOOD TRAINING,RECOGNITION OF EMBRYOLOGIST DEGREE IN MY COUNTRY,PAY MORE,"Good quality standars in my laboratory, and keep improving the protocols. "
stress,work conditions,the automatic work in the future,best practice,salary,temporality,icsi
grow nice blastocysts,communicate with patients,gain visibility,generate healthy embryos,increase formative activities,gain visibility,I already have a very interesting position
Stress,Workflow,Salary,Reocgnition,Workflow,Recognition,Help other
Long hours,Stressful environment,Lack of recognition as clinical profession in Spain,Lack of control of level of education,Certification,Sindication,Have a healthy retirement
Stressful working environment - can't have an 'off' day,Understaffed,Lack of standardisation,Always keeping up to date with scientific advances,More staff,More awareness from other departments,To become the best I technically can and work in a positive work environment
Stress and anxiety,Low number of embryologists and high number of cases,Recognition and voice,Lack of authority and forced to perform actions against its ethical will pressured by a superior,Laboratory decisions should be made only by the embryology team not by medical or other staff,"To be able to have at the director of the unit level an embryologist and a doctor not only a doctor understanding by doctor, medical staff",Management role
salary,time pressure,recognization,equality,national carrer,politic support,be happilly productive
Takes all the blame for negative pregnancy test resy,Burnout,Burnout,Lack of time for self and family,More staff,Timeoff,"A skilled, certified and professional embryologist"
Under-paid,Workload-clinical And non clinical,Keeping up lab performance,Workload-clinical and non clinical,Better remuneration package,"A dedicated role for lab operation ie purchasing, maintenance and quality management",To further achieve higher success rates.  To shorten patients’ time to pregnancy
overload,stress,stress,automatism,guidelines for labor standardization,digitalization,"head of IVF lab, head of research team"
Short staffing,Lack of communication between staff members,Professional responsibility,Paperwork,Financial rewards,Intellectual stimulation,Maintain clinical and reserach work
Staffing levels that are too low,High performance pressure which is stressful,recognition of skill level in salary,low staffing levels,Staff need to be able to take leave without leaving their team short,"Staff need time built in to the staffing algorithm to take on projects, read publications, watch webinars",Take on some out-of-lab roles within the Science Team at my clinic
Over-worked,Repetitive Work leading to boredom,Career stagnation,Boredom due to repetitive work,Huge pay rises,New career growth paths,Can't have any as embryology does not offer any.
workload + increasing expectations for timed procedures that increase the length of the shifts that must be covered,ergonomics (e.g. really poor crib design for human users) microscope and computer usage,staffing ratios,"Definition of role, is it as a clinical service provider or a research role, increasingly  it is more about delivery of a clinical serivce ",agreed scientist /  patient ratios,"managing staff expectations - most clinical ivf providers expect scientists to do clinical IVF  > 95 % of their time, these are not research positions.",to continue to provide evidence based treatment and do the best science we can in whatever situation we are in
Case load/volume per trained embryologist,Clinic support,Enough trained staff,Work/ life balance,Unionize to set industry standards of workload,More training programs,Make enough money to retire
working hours,paper work,recognition,working hours,Legal recognition in EU,.,Don't have none
Burnout,Work life balance,Limited career development,Inefficient and insufficient training,Adequate staffing,Compensation for long hours worked,Lab manager in small to mid sized clinic
not enough recognition for what they do,"burn out due to the nature of the job, if understaffed",very few countries with accrediation for the profession,not enough 'outside training' and graduate training opportunites for many embryologists particularly in developing nations,Have national accreditation bodies and unions looking after the needs of the embryologist,"Clear training pathways, with enough staff employed fro training and PD","having all working in embryology labs with the right thoretical background, so they can not just 'do' but 'plan, act and improve'"
responsability,constant update,lack of recognition,low salary,career regulamentation,definition of the number of embryologist per cycle,Be one of the biggest public center in Portugal with good clinical results
Overwork/burnout,"Currently, supply chain issues",Lack of competition in certain geographic areas,Lack of options outside of clinical embryology,Hiring more staff to cover increasing workloads,Placing hard limits on work the lab can take on,Laboratory management
Stress,Satisfaction,Recognition,Respect,More respect,Recognition,Have 50% of positive
Ensure security,Ensure correct identification of all procedures,Fair  recognition compare to clinicians,Career,Established career,Obligation for staff number adequate to work load,Be part of a State-of-the-Art laboratory team
Lack of profession recognition,Too much work with a lot of responsability  for a miserable salary,Lack of recognision as a health professional,Lack of career,Career,Better salary,Improve pregnancy rates
Salary,Workload,Salary,Professional recognition/acreditation,Staffing guidelines,Salary and career progression guidelines,Scientific Director.
Burn out,No mandatory certification,Further learning,No mandatory certification,Increased staffing levels,Occupation based union,To continue learning and reach obsolete optimal lab techniques & processing
Recognition from medical staff,Explain technical need to clinical administration,Understanding the job,Recognition of a high-skilled profession,International society like ESHRE but just for embryologists,Sponsors from pharmaceutical industry,Academic teaching
"Workload, pressure, weekends",Low salaries,Low salaries,poor recognition of  the job value,Visibility to  increase perception of the job,"standarized contract with salaries, working conditions",Lab manager
recognition,freedom to decide,recognition,salary to low,more power to decide + recognition,higher salary to upgrade position,as a lab director I am fine
Burnout,Little to no work life balance,Loss of human touch,Staff shortages,Create more flexible schedules,Create staffing schedules that would allow a work life balance,Move into management bit currently alot of sex discrimination.  All the managers are men.
stress,unhappy patients,recognition,low pay,more pay,support from managers,none
rigor,organization,teamwork,skill,?,?,head of service
Staff,Under appreciation,Lack of support,Lack of appreciation,Empathy,Understanding,Not sure yet
Less people,High amount of work,Less people,High amount of work,More people,Less amount of work,To became lab director
ethical problems,....,ethical problems,.....,more performant technical tools,more relationships with patients,be more performant every day
Staffing Levels,Flexibility to work from home,Being able to advance into management roles,Variability between labs,"Employ more staff, gives more flexibility to have more than 1 person on leave at once",Massages or ability to take regular breaks to assist with aches,To become laboratory manager or regional manager
a lot of bad new calls falls on us and some patients havent been prepared to fail a cycle,low pay,low pay for literally making life,expected to perform miracles and getting slammed when it doesnt happen,higher pay,more public education about IVF,"becoming a qualified embryologist short term, potentially going into genetics or lab manager long term"
Long work hours - high work load concentrating long periods,Communication with Drs,Ensuring all work completed to the highest standards,Team based environment - ensuring good relationships with team,Ensuring open communication with team and Drs,Ensuring staffed for the workload of the clinic to ensure long hours not worked,"Senior Embryologist, Scientific Director"
Pay,Irregular schedules,Accessible training,Pay,A realistic number of breaks/making it easier to take breaks when needed.,Respect of opinion by physicians,Pharmacogenomics research.
Stress by working with precious material,"No esteem, embryologists are treated like very basic laboratory technicians while they have to work very independently",Get recognition for the subject embryology and for the field of embryology,To stay away from commercial clinics where money is the most important thing,Get recognition and better salaries,Get more time to do the laboroty work and more time for education,get less stress
Clinician dominance,Time management,Recognition,Unexplainable,Good incentive,A proper attention and credit,Learn new techniques with research and help to bring joy
having control over workload,space/resources,lack of pay parity between organisations,recognition within the industry,increased recognition,increased input into decision making,At the top now  Keep making a positive contribution to the industry and clients  Keep being a champion for the younger colleagues
Short of staff,Not enough senior to train,Money,Corporate,Hire enough staffs to perform the tasks,Up to date equipment,Management role in the lab
Work load,Hiring competent trained embryologists,No clinically based phd programs in the country,Changing the status of embryologist as a profession,Hiring more embryologists,Hiring specific andrologists,To improve clinical embryology status in my country.   Phd program are afraid to select clinical embryologist in their program because those embryologist think clinically not academically
Stress,Pay,Focus,Speed,Staffing,Pay increase,Scientific director
Over worked,Underpaid,No union,Short staffed,Increased pay,More staff,Work life balance
workload,weekend work should be shift,lack of staff,education,enough staff,free week end,to get higher degree on embryology
Stress,CPD points,Stress,Staying on top of legal changes,Offer CPD-accredited seminars (at decent times),Have the right complement of staff for the number of cycles,Stay happy in current position and keep staff happy
time back,working on weekends,extra time,many responsabilities,rotations for weekends,increase manpower,Help couples to achieve their dream. To have healthy children
Technical difficulties,Environmental conditions,The recognition of the profession by gynecologists,Improve performance of ART,A unique international recognition,A status for technical practice,To be a chief embryologist
Competition,Success,Competition,Knowledge,Rotation,Spare time to Read,Be a good and successful embryologist
quality assurance - consistency in procedures and culture conditions,Communication with patients and management patient's expectations,keep improving results,keep ethical integrity,professional recognition (university degree),better salaries,Be able to get my clinic to achieve the best results in the country.
"high workload , high concentration , fear of making mistakes",staff shortening,more further education of clinical staff in IVF necessary,more time for scientific work,more staff,more education,enjoy working despite high pressure and high workload  good teamwork  for my patients a good and successful work
"Lack of training on imparting bad news, counselling patients - embryologists in our clinic have a lot of patient contact and are expected to be able to impart bad news and manage patients emotions but there is little to no training or support in this area. Embryologists are not trained counsellors",A lack of understanding and support for mental burnout.,Lack of representation as a specialisation. Our NZ registration is lumped in with medical laboratory scientists and the regulations around that often do not translate to our profession,There is no embryology degree in NZ and the Australian is financially unavailable for most people,The development of a NZ run embryology or ART association - we are included with FSA but Australian regulations are different to NZ,An internationally accepted standard for staffing levels based on workloads to help reduce burnout,Unsure. As embryology is so specialised it is difficult to transition without needing to retrain entirely. I am currently a senior and have no intention of becoming a laboratory manager. I feel like my options are limited.
low pay,un appreciated by clinicians,long work hours,lack of opportunities for reskilling,Networking and forming embryology societies to guide practice.,training and reskilling,To practice evidence based embryology to the satisfaction of clients.
Weekend work,Workload,Lack of spare time,Exhaustion,Allocate free days,inrease annual leave days,Have the ability to provide and develop cutting edge scientific treatment options for patients
Organized,Focalize,Understanding,Worker,More salary,Better schedule,Open a clinic
Inadequate staffing levels,Difficult interaction with doctors,Staffing levels,Quality training and CPD,Improved staff ratios,Lab admin or technical support staff,Quality patient care
Sufficient  staffing level,See above,Sufficient staffing level,See above,Sufficient staffing level,See above,Retirement
Understaffing,burnout,keeping trained staff,working with Doctors,pay rates reflective of responsibility,Staffing numbers reflective of workload,"I am approaching 50, have set up labs from the start, have been a Lab Supervisor for 16 of the 25 years I have worked in the industry.... I think I've reached the summit and probably started heading down the other side now :-)"
lack of support,being treated as a factory robot,lack of recognition,being forced to work in unsafe workplaces,support and recognition,career framework independant of despot management,At this point in time just getting through the day.Have witnessed the creation of families being reduced to a factory like process where staff are just surviving and patient care minimal
lack of progression/career framework,salary,no formal training outline,expensive MSc,suitable facitilies,good equipment,to be the best embryologist I can through knowledge and refined skill. to fulfil potential and have a career framework so that I can feel accomplished through my work
Methodical,Ethics,Methodical,Ethics,Certification,Certification,IVF lab director
Hardworking,Contamination of sperm or oocyte or embriyos,Stressful workplace,No holiday chance,Optimal staff number,No pressure from the docs,Retire
regularity,adaptation,independance,clinician collaboration,more time,specific status,excellence
Responsability,Burocracy,Salary,Recognition,Better salary,Better conditions,Lab director
Recognition,Recognition,Recognition,Fair salary,Recognition,Specialization,Gain new skills
Disgruntled patients,Resistance to change,Few innovations,"Junior staff, immaturity",Remove the need for a masters- people learn more in the job than that course,Less weekend work. Set OPU days/times with theatre lists ending by 12pm,Manage a team successfully and improve process development
Poor communication,Workload/pressure,Workload/pressure,Work-life balance,Greater levels of staffing/support,Allocated time for communication/learning,Keep my job!
Patient communication,Cell to tube transfer,Recognition as health care providers,Certification enrolment,Improve confidence,Certification,"Continue operating as an embryologist, research"
work hours,staff numerous,training,work team,work hour,vacation,Have an ESHRE certificate
Culture,Lack of Progression,Lack of Progression,Poor Management,Give managers proper management training,Ensure enough staff to perform work,Work in business development/growth or manage a business either in an ART clinic or outside
Heavy workloads,Perceived reduction in skills due to automation,Understaffing,Perceived reduction in skills due to automation,Acknowledgement of staffing required for 7 day roster,Money helps,To help maintain and build on the widely recognised success and respect of our lab.
Burnout,Progression limitation,Burnout,Progression limitation,safe staffing,Clear progression pathways,"Make babies, earn money"
work/life balance,perfectionists,perfectionism,potential to make errors,improving staff rotation,mandatory breaks,Director of lab
Long working hours,Skills maintenance,Automation,Doctors,Automation,Reasonable shift lengths,Lead my lab into further growth & become world renowned
physicians consider themselves superior,physicians blame embryologist because everybody´s mistakes,To be More (Academically and Experience) prepared to earn trustability and respect,"Stop to see physicians as ""parents or bosses"". Then, start to be more responsibles and understand they are equal important",Provide more education (academical and hands on),"Treat them as Responsable People (not more compassion, only same than Drs)",entreprenour
Low salary,Bad work environment,Fast debelopment of methods,Problems in reqruiting donors,Noise reduction in the lab,Better online courses for education,None
High workload,None,High workload,None,More embryologist,Have someone doing exclusiveliy paperwork,Become head of lab
"physical strain (back, shoulders, eyesight)",stress,accountability,ethics,more staff,digitalised management of patient data,Senior embryologist
Workmates,Time,"ICSI, transfer rating",International Certification,Attending webinars,KPi,Licensed Embryologist
Vitrification 1 or 2 embryo/ cryotop,eSET and patients age,PGT,IVM,more Embryologists,more staf,improve PGD results
to obtain top quality equipment,"to manage every jobs at the same time: scientist, technical, quality, coaching, informatique",to adapt an ethical approach on society evolution,to propose new high technology in our lab,to provide higher budget to develop our lab,to improve collaboration between embryologist from different IVF centre,to have an IVF cutting edge lab  to improve our pregnancy rates
we are not recognized as specialists in healthcare,we are not payed enough,it is difficult to plan the amount of daily workload,work at hollidays and weekends,organize daily workflow in details,provide time for research work and development,"Improve the quality of daily embryology work through research, development and improvements of standard procedures.  Improve working conditions in terms of better planning of daily workflow."
fluctuating workload,mental pressure,salary,independency vs gynecologists,"automated tools, robots",more staff,be happy and avoid burnout
Lot of stress,Huge responsibility,Lot of stress,Huge responsibility,Better organization,Better salary,To keep gain success and to help people
"lack of a good database, traceability whit other IVF centres","inability to service the device, due to lack of experts in the country",the main accused for poor results,embryologsts in the shadow of a doctor,hiring additional staff,salary increase,"higher success rate, especially in older women"
lack of an accurate daily program,not following procedures by all employees,too much work in a short time,the job of an embriologist involves a lot of administrative work,Hiring additional staff,Salary increase,Higher success rate in older women
.,.,.,.,.,.,.
rigueur,ethique,the same,the same,more free time,more financial help,Plaisure
none,none,innovation,keep clinical values,none,none,none
